,,Day,Start Time,End Time,Camp,Neighbourhood,Event Name,Description of Event,,Workshop / Class,Food / Drink,Performance / Show,Wellness / Yoga,Music / Dance,Game / Activity,19+
,,Thursday,,,,,,,,,,,,,,
O0453,L0438,Thursday,00:00,00:00,Salon Saloon,SMOLDER,Save-a-Flailmingo,"A flamboyance of ‘Flailmingos’ have escaped across the plains of Otherworld. Find a Flailmingo, complete the task and return them to safety to earn your Flailmingo Wrangler badge.",Thursday 00:00 - 00:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0253,L0246,Thursday,01:11,02:22,Reframing, SPARK,Inner Child Post Box Re-Birth through the birth canal,"Inner Child Post Box Re-Birth through the birth canal: Arrive at Reframing and transform as you enter the secret door, travel back through the birth canal and re- birth yourself through the vulva and into the Inner Child Post Box then write your inner child a post card. (Open 9am-2am - come by anytime)",Thursday 01:11 - 02:22,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0438,L0425,Thursday,02:22,04:44,Reframing , SPARK,Reframing Art Project,"The Reframing Art Project invites you to revisit your younger self, star gaze & offer healing word hugs to your inner little one (Open 9am-2am - come by anytime)",Thursday 02:22 - 04:44,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,,Thursday,4:00,11:00,Yarnia,TINKER,24hr community knitting and crochet circle,Supplies provided. Work on own project or join Knitters vs Crocheters in longest scarf comp!,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0640,L0622,Thursday,04:30,04:30,Securititties Squad,ROAMING,Securititties Squad,Look for our squad to “secure your titties”. With consent of course.,Thursday 04:30 - 04:30,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
O0058,L0056,Thursday,06:00,12:00,Camp Otherbo’r’d,BLACK ROCK,Project HissBark: Seeds of Doubt,"Recruiting conspiracy game players who know narrative from counter-narrative. Drain the swamp, rehydrate the bog. Moisture isn’t real. Cryptopreneurs Radically Included <sad emoji>. Wanna play a game? Then, find Improvocateurs with checkered sashes.",Thursday 06:00 - 12:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0355,L0343,Thursday,06:00,07:30,Picnic Party, SPARK,Soft Tacos: but make it Hard,"The Avocado is friendly but Chipotle smells your fear. Is the Salsa twerking to Darude? The Cheese fell asleep in the sun again. Oh well, it’s a pre-party Picnic. Your mission is to make the taco of your dreams; if you can find it…",Thursday 06:00 - 07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
O0434,L0421,Thursday,09:00,09:00,Recovery House,EVAPORATION,Conversation Ball Pit,"Pick a stranger, jump in the ball pit, pick up a ball & read the question, discover the answers to life, the universe and everything. And make a friend :)",Thursday 09:00 - 09:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0469,L0454,Thursday,09:00,09:00,Shaman Dome,YES...AND?,Temple of heKate,"A quiet, self- guided threshold space for reflection and learning. Explore Hecate, sacred symbolism, and the roots of temples as places of art and devotion. Enter freely, stay as long as you like.",Thursday 09:00 - 09:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0470,L0455,Thursday,09:00,09:00,Shaman Dome,YES...AND?,Community Canvas 2026,Community canvas space with paints and materials provided. Start a piece or build on another’s work. Includes a display of past creations and community art from previous years.,Thursday 09:00 - 09:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0230,L0225,Thursday,10:00,11:00,Garden of Eatin', SPARK,Find Your Snack Squad!!,"Looking to connect with some new people? Play the Snack Squad game! Grab a food flag, look for others who are wearing a food flag, make a snack squad of foods. Return to Garden of Eatin with your Squad for a prize",Thursday 10:00 - 11:00,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
O0311,L0301,Thursday,10:00,13:00,"Living Room, The",BLACK ROCK,Nevermore shepperds Bazaar lounge.,"Nevermore shepperds Bazaar lounge.: Nevermore Shepherds Lounge is a wandering ritual space of tea, coffee, puppets, and story. A living lounge where strangers become presences—invited to slow down, connect, and co-create through play, symbols, and shared moments.",Thursday 10:00 - 13:00,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
O0486,L0471,Thursday,10:00,22:00,Sloplandia,SMOLDER,Dr. Detangler,Packed in a hurry? String lights became sentient? Jewelry fused into nautical knots? Visit the Sloplandia Detanglery and receive emergency field surgery from a highly unlicensed professional.,Thursday 10:00 - 22:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
